SYMBOL,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,CHANGE (%),VOLUME,date extracted
GSPMNC,3.63,3.8,3.8,3.6,3.63,-0.07,-1.89,14831.0,2025-06-01
DWAENC,25.7,26.44,26.97,25.14,25.7,-0.28,-1.08,14786.0,2025-06-01
ASTMNC,13.88,13.98,14.17,13.4,13.88,0.18,1.31,14620.0,2025-06-01
ATBA,276.15,279.92,279.92,275.0,276.15,0.28,0.1,14604.0,2025-06-01
POWERPS,16.6,17.0,17.17,16.6,16.6,-0.11,-0.66,13744.0,2025-06-01
KHTC,389.33,376.71,395.8,376.71,389.33,12.62,3.35,13401.0,2025-06-01
GATI,141.01,135.73,144.99,135.73,141.01,5.27,3.88,13036.0,2025-06-01
NEXT,7.8,8.14,8.14,7.8,7.8,-0.2,-2.5,13001.0,2025-06-01
ARUJNC,8.8,9.3,9.3,8.7,8.8,-0.23,-2.55,12694.0,2025-06-01
KOHP,6.05,6.8,6.8,6.02,6.05,-0.1,-1.63,12383.0,2025-06-01
UCAPM,3.1,3.35,3.35,2.91,3.1,0.0,0.0,12040.0,2025-06-01
NBPGETF,22.05,22.01,25.72,21.15,22.05,-1.78,-7.47,12000.0,2025-06-01
FPRM,9.23,8.25,9.24,8.15,9.23,0.95,11.47,11566.0,2025-06-01
SARC,36.32,34.99,36.32,34.6,36.32,3.3,9.99,10821.0,2025-06-01
OML,43.54,48.0,48.0,42.06,43.54,-1.45,-3.22,10783.0,2025-06-01
ORM,9.4,9.4,9.4,9.4,9.4,0.2,2.17,10498.0,2025-06-01
GADT,329.69,330.0,334.99,319.0,329.69,-0.19,-0.06,10063.0,2025-06-01
HINO,407.25,415.0,415.0,395.0,407.25,1.91,0.47,9954.0,2025-06-01
BPL,30.21,31.0,31.2,30.01,30.21,-0.8,-2.58,9776.0,2025-06-01
FIBLM,3.25,3.25,3.25,3.25,3.25,0.06,1.88,9537.0,2025-06-01
EXIDE,821.15,834.0,834.0,814.0,821.15,-10.86,-1.31,9332.0,2025-06-01
ANTM,17.07,16.59,17.7,16.56,17.07,0.86,5.31,9321.0,2025-06-01
FML,64.31,66.44,67.0,64.0,64.31,-2.13,-3.21,9112.0,2025-06-01
PAKOXY,152.0,154.49,154.49,151.56,152.0,-0.01,-0.01,9094.0,2025-06-01
FTSM,12.05,13.25,13.25,12.0,12.05,-0.08,-0.66,8865.0,2025-06-01
HABSM,73.0,73.5,73.5,72.0,73.0,-0.73,-0.99,8800.0,2025-06-01
TOWL,124.98,127.2,129.99,124.04,124.98,-1.02,-0.81,8785.0,2025-06-01
ATLH,1126.05,1106.0,1135.0,1100.15,1126.05,8.4,0.75,8667.0,2025-06-01
JSCLPSA,9.8,9.65,9.85,9.65,9.8,0.15,1.55,8530.0,2025-06-01
SHFA,443.12,448.75,448.75,421.05,443.12,2.07,0.47,8515.0,2025-06-01
PMRS,270.0,270.0,270.0,270.0,270.0,0.02,0.01,8375.0,2025-06-01
AATM,45.77,41.6,45.77,41.6,45.77,4.16,10.0,8342.0,2025-06-01
IML,16.52,16.8,16.98,15.5,16.52,0.52,3.25,8166.0,2025-06-01
DNCC,14.39,14.82,14.82,14.11,14.39,-0.31,-2.11,8005.0,2025-06-01
AGTL,418.2,420.0,423.89,415.02,418.2,-3.22,-0.76,7973.0,2025-06-01
MSOT,53.99,48.01,55.9,48.01,53.99,1.64,3.13,7952.0,2025-06-01
SMLNC,66.0,65.66,67.0,65.0,66.0,0.0,0.0,7734.0,2025-06-01
ZTL,12.0,11.5,12.0,11.5,12.0,0.5,4.35,7606.0,2025-06-01
FRCL,34.2,34.47,34.5,33.2,34.2,2.18,6.81,7606.0,2025-06-01
PASMNC,3.99,4.0,4.0,3.99,3.99,0.37,10.22,7511.0,2025-06-01
THALL,379.05,379.9,382.0,376.1,379.05,0.04,0.01,7384.0,2025-06-01
RICLXB,10.89,11.5,11.5,10.5,10.89,0.23,2.16,7111.0,2025-06-01
AKDHL,166.47,179.99,179.99,163.0,166.47,-10.41,-5.88,6833.0,2025-06-01
ATIL,57.6,58.0,58.5,57.6,57.6,-0.4,-0.69,6536.0,2025-06-01
BWCL,401.84,400.01,403.9,400.0,401.84,0.01,0.0,6443.0,2025-06-01
TPLI,8.22,8.6,8.69,8.22,8.22,-0.33,-3.86,6102.0,2025-06-01
MFL,47.16,48.94,48.94,47.0,47.16,-0.75,-1.57,6054.0,2025-06-01
SNAI,24.83,24.7,25.0,24.7,24.83,0.15,0.61,5974.0,2025-06-01
SANSM,49.99,50.99,51.0,47.45,49.99,-2.62,-4.98,5943.0,2025-06-01
BWHL,133.57,135.5,135.5,133.51,133.57,-0.93,-0.69,5757.0,2025-06-01
NAGC,54.39,54.25,56.99,53.51,54.39,0.1,0.18,5475.0,2025-06-01
BOK,14.75,15.37,15.37,14.75,14.75,-0.15,-1.01,5226.0,2025-06-01
GVGL,49.62,49.96,50.0,48.55,49.62,0.51,1.04,5087.0,2025-06-01
KML,34.16,38.5,38.5,34.0,34.16,-0.87,-2.48,5076.0,2025-06-01
ARCTM,27.34,27.14,27.6,26.1,27.34,0.2,0.74,5032.0,2025-06-01
JATMNC,21.18,20.79,22.2,20.5,21.18,0.68,3.32,4856.0,2025-06-01
CENI,40.48,38.5,40.6,38.0,40.48,0.5,1.25,4743.0,2025-06-01
KSTMNC,8.01,8.0,8.8,7.5,8.01,0.01,0.13,4740.0,2025-06-01
IGIHL,160.05,157.12,161.85,157.12,160.05,1.41,0.89,4587.0,2025-06-01
SUTM,191.75,195.01,198.99,190.0,191.75,-6.13,-3.1,4518.0,2025-06-01
ABOT,949.18,957.0,960.0,948.74,949.18,-6.94,-0.73,4254.0,2025-06-01
JKSM,63.5,63.5,63.5,63.5,63.5,3.68,6.15,4000.0,2025-06-01
FZCM,178.12,182.19,184.94,178.0,178.12,-4.07,-2.23,3902.0,2025-06-01
MACTER,369.95,375.95,380.0,367.5,369.95,-0.05,-0.01,3889.0,2025-06-01
LCI,1535.46,1542.98,1544.9,1524.0,1535.46,2.19,0.14,3845.0,2025-06-01
IDSM,14.9,14.4,15.3,14.4,14.9,0.4,2.76,3807.0,2025-06-01
PSYL,58.75,58.48,62.0,57.61,58.75,1.73,3.03,3707.0,2025-06-01
FANM,3.2,2.9,3.2,2.9,3.2,0.2,6.67,3440.0,2025-06-01
AGIC,31.26,30.0,31.95,30.0,31.26,1.16,3.85,3424.0,2025-06-01
PAKL,34.93,34.98,35.06,33.0,34.93,3.06,9.6,3190.0,2025-06-01
LSECL,5.48,5.5,5.5,5.27,5.48,0.16,3.01,3169.0,2025-06-01
ADAMS,62.51,61.96,67.05,59.28,62.51,1.56,2.56,2961.0,2025-06-01
CHAS,63.0,66.0,66.0,63.0,63.0,0.35,0.56,2942.0,2025-06-01
INDU,1911.85,1914.98,1925.0,1877.12,1911.85,24.25,1.29,2932.0,2025-06-01
ASHT,12.77,12.6,13.33,12.6,12.77,0.65,5.36,2932.0,2025-06-01
UBDL,26.04,27.35,27.35,24.02,26.04,-0.4,-1.51,2911.0,2025-06-01
PRWM,44.0,44.0,44.0,41.01,44.0,1.0,2.33,2751.0,2025-06-01
TSPL,6.54,6.92,6.92,6.45,6.54,-0.28,-4.11,2701.0,2025-06-01
LSEFSL,29.68,30.3,30.83,29.0,29.68,1.65,5.89,2564.0,2025-06-01
ZAHID,28.74,28.74,29.9,27.0,28.74,0.0,0.0,2506.0,2025-06-01
RUPL,17.17,16.61,17.47,16.6,17.17,-0.27,-1.55,2501.0,2025-06-01
JUBSNC,9.05,9.03,9.98,9.03,9.05,-0.54,-5.63,2348.0,2025-06-01
KPUS,124.97,129.75,130.0,122.99,124.97,5.97,5.02,2295.0,2025-06-01
GRR,16.41,16.2,16.99,16.2,16.41,0.05,0.31,2142.0,2025-06-01
DLL,227.72,235.5,237.0,220.0,227.72,-7.28,-3.1,2101.0,2025-06-01
SBL,9.5,10.28,10.28,9.05,9.5,0.0,0.0,2019.0,2025-06-01
ARPL,405.0,402.01,409.99,402.0,405.0,1.86,0.46,1970.0,2025-06-01
GRYL,4.99,4.98,4.99,4.98,4.99,0.28,5.95,1952.0,2025-06-01
PPVCNC,8.25,8.77,9.68,8.24,8.25,-0.52,-5.93,1951.0,2025-06-01
HINOON,911.59,914.9,919.8,906.56,911.59,-3.01,-0.33,1933.0,2025-06-01
STYLERSXD,40.09,39.02,41.0,39.02,40.09,0.73,1.86,1905.0,2025-06-01
NSRM,49.91,49.81,49.91,49.81,49.91,4.54,10.01,1656.0,2025-06-01
DAAG,84.06,85.0,87.25,80.12,84.06,-1.76,-2.05,1606.0,2025-06-01
PAKT,1177.09,1199.0,1285.0,1170.0,1177.09,-8.72,-0.73,1589.0,2025-06-01
CCM,50.69,46.1,50.71,46.1,50.69,4.59,9.96,1533.0,2025-06-01
EFUL,156.78,157.49,157.49,153.51,156.78,1.45,0.93,1523.0,2025-06-01
QUETNC,13.99,14.0,14.1,13.51,13.99,0.53,3.94,1494.0,2025-06-01
SIEM,1516.01,1516.0,1517.0,1516.0,1516.01,0.01,0.0,1322.0,2025-06-01
PGLC,21.23,21.8,21.8,20.77,21.23,0.48,2.31,1306.0,2025-06-01
EPCLPS,12.38,12.48,12.5,12.38,12.38,0.33,2.74,1238.0,2025-06-01
MSCL,9.98,9.99,9.99,9.94,9.98,0.23,2.36,1212.0,2025-06-01
OLPM,16.24,16.2,16.55,16.2,16.24,-0.04,-0.25,1167.0,2025-06-01
TSML,144.97,147.5,147.5,133.02,144.97,-2.02,-1.37,1106.0,2025-06-01
HUSI,28.41,26.49,28.5,26.46,28.41,2.41,9.27,1097.0,2025-06-01
GLPL,269.44,257.1,279.23,257.1,269.44,-2.97,-1.09,1070.0,2025-06-01
PECONC,709.5,709.0,735.5,709.0,709.5,-1.22,-0.17,1026.0,2025-06-01
STML,26.02,29.35,29.35,26.0,26.02,-0.77,-2.87,1016.0,2025-06-01
SHSML,364.54,365.0,367.0,360.01,364.54,-0.46,-0.13,1005.0,2025-06-01
COLG,1327.76,1322.0,1339.0,1322.0,1327.76,-2.22,-0.17,995.0,2025-06-01
SCL,279.93,285.0,285.0,270.0,279.93,18.97,7.27,770.0,2025-06-01
FCELNC,3.9,3.99,3.99,3.7,3.9,0.2,5.41,737.0,2025-06-01
SUHJNC,90.0,91.64,91.64,86.0,90.0,6.68,8.02,731.0,2025-06-01
MUREB,819.07,820.87,830.0,819.0,819.07,-1.8,-0.22,640.0,2025-06-01
UVIC,9.23,9.98,9.98,9.11,9.23,-0.65,-6.58,623.0,2025-06-01
PSEL,985.55,930.0,1022.0,880.0,985.55,19.35,2.0,611.0,2025-06-01
EFUG,119.96,121.99,121.99,117.37,119.96,0.01,0.01,601.0,2025-06-01
BATA,1525.78,1548.99,1549.0,1505.0,1525.78,10.65,0.7,530.0,2025-06-01
SGPL,8.28,8.64,8.64,8.2,8.28,0.05,0.61,527.0,2025-06-01
HRPL,34.2,29.03,34.2,29.03,34.2,3.09,9.93,520.0,2025-06-01
SIBL,8.5,8.25,8.79,8.2,8.5,0.13,1.55,516.0,2025-06-01
ELSM,106.89,110.9,111.99,110.0,106.89,0.0,0.0,509.0,2025-06-01
FCIBL,8.13,8.13,8.13,8.13,8.13,0.21,2.65,500.0,2025-06-01
RUBYNC,8.47,8.74,8.74,8.1,8.47,0.0,0.0,461.0,2025-06-01
FHAM,21.25,21.77,21.8,21.31,21.25,0.0,0.0,411.0,2025-06-01
LEUL,28.12,30.45,30.45,30.0,28.12,0.0,0.0,405.0,2025-06-01
STJT,83.53,75.28,88.0,75.28,83.53,3.53,4.41,376.0,2025-06-01
AABS,877.42,866.01,899.99,800.1,877.42,13.63,1.58,335.0,2025-06-01
JDWS,911.74,939.0,939.0,911.5,911.74,-21.24,-2.28,334.0,2025-06-01
SITC,427.28,430.0,447.89,414.01,427.28,-11.87,-2.7,326.0,2025-06-01
SHCM,29.41,32.3,32.3,27.26,29.41,0.0,0.0,326.0,2025-06-01
JSGCL,119.28,118.02,128.0,118.02,119.28,-1.0,-0.83,307.0,2025-06-01
BHAT,808.55,807.0,849.44,806.0,808.55,-26.45,-3.17,301.0,2025-06-01
PRET,400.0,400.0,401.0,400.0,400.0,0.0,0.0,301.0,2025-06-01
BAFS,61.01,55.61,55.61,55.6,61.01,0.0,0.0,294.0,2025-06-01
ALNRS,77.36,81.0,81.0,75.92,77.36,0.0,0.0,289.0,2025-06-01
SRVI,1124.99,1149.0,1149.0,1075.0,1124.99,2.36,0.21,273.0,2025-06-01
RCML,476.8,482.0,482.0,445.33,476.8,-6.2,-1.28,255.0,2025-06-01
KHYT,2790.71,2790.71,2790.71,2790.71,2790.71,253.7,10.0,250.0,2025-06-01
ELCM,131.39,137.8,145.9,130.0,131.39,-7.86,-5.64,232.0,2025-06-01
SZTM,30.0,30.0,33.0,30.0,30.0,0.0,0.0,217.0,2025-06-01
REWM,113.05,113.05,113.05,105.0,113.05,0.0,0.0,216.0,2025-06-01
HBLTETF,118.1,118.35,118.35,118.25,118.1,0.0,0.0,200.0,2025-06-01
FEM,2.9,2.9,2.9,2.9,2.9,0.0,0.0,195.0,2025-06-01
AMBL,9.99,10.5,10.5,10.5,9.99,0.0,0.0,176.0,2025-06-01
MEHT,305.6,311.9,311.9,303.1,305.6,0.59,0.19,168.0,2025-06-01
SFL,1011.89,1089.0,1089.0,967.03,1011.89,-61.74,-5.75,156.0,2025-06-01
ARPAK,61.6,55.51,61.4,55.51,61.6,0.0,0.0,156.0,2025-06-01
RMPL,9960.91,10055.0,10100.0,9955.0,9960.91,-147.42,-1.46,143.0,2025-06-01
IBFL,347.96,359.0,359.0,336.41,347.96,11.56,3.44,125.0,2025-06-01
AKGL,44.5,40.11,48.95,40.11,44.5,0.0,0.0,119.0,2025-06-01
GUSMNC,8.01,8.47,8.47,7.63,8.01,0.0,0.0,114.0,2025-06-01
TCORPCPS,8.74,7.74,8.74,7.74,8.74,0.0,0.0,110.0,2025-06-01
PMPK,1143.66,1100.0,1179.84,1083.01,1143.66,18.66,1.66,99.0,2025-06-01
HAFL,277.94,300.0,300.0,290.0,277.94,0.0,0.0,71.0,2025-06-01
STL,818.69,790.0,838.91,781.0,818.69,0.0,0.0,64.0,2025-06-01
PIAHCLB,29374.54,29374.54,29374.54,29374.54,29374.54,2670.41,10.0,60.0,2025-06-01
NESTLE,7001.11,7025.4,7095.0,6951.5,7001.11,-24.29,-0.35,59.0,2025-06-01
ZIL,300.0,310.0,314.0,310.0,300.0,0.0,0.0,38.0,2025-06-01
TSMF,8.5,8.8,8.8,7.52,8.5,0.0,0.0,32.0,2025-06-01
UPFL,23238.13,22825.0,23500.0,22825.0,23238.13,138.91,0.6,28.0,2025-06-01
NONS,88.98,80.08,88.0,80.08,88.98,0.0,0.0,25.0,2025-06-01
BTL,265.67,270.98,270.99,270.98,265.67,0.0,0.0,15.0,2025-06-01
MCBIM,103.69,101.49,110.75,101.49,103.69,0.0,0.0,15.0,2025-06-01
TICL,322.75,310.0,310.0,310.0,322.75,0.0,0.0,14.0,2025-06-01
SINDM,10.71,10.5,11.39,10.43,10.71,0.0,0.0,13.0,2025-06-01
BELANC,123.05,116.02,130.0,116.02,123.05,0.0,0.0,10.0,2025-06-01
ISIL,1727.0,1717.0,1730.0,1716.0,1727.0,0.0,0.0,10.0,2025-06-01
SAPT,1104.62,1123.95,1123.95,1100.07,1104.62,0.0,0.0,6.0,2025-06-01
TSBL,13.56,14.0,14.0,12.22,13.56,0.0,0.0,6.0,2025-06-01
HPL,3142.44,3165.0,3165.0,3165.0,3142.44,0.0,0.0,3.0,2025-06-01
PINL,5.45,5.84,5.84,5.3,5.45,0.0,0.0,3.0,2025-06-01
ASIC,14.0,14.0,14.0,14.0,14.0,0.0,0.0,1.0,2025-06-01
CASH,51.72,54.99,54.99,54.99,51.72,0.0,0.0,1.0,2025-06-01
DIIL,22.65,23.86,23.86,23.86,22.65,0.0,0.0,1.0,2025-06-01
EWIC,57.29,57.0,57.0,57.0,57.29,0.0,0.0,1.0,2025-06-01
FTMM,4.08,4.2,4.2,4.2,4.08,0.0,0.0,1.0,2025-06-01
GFIL,9.74,9.85,9.85,9.85,9.74,0.0,0.0,1.0,2025-06-01
PIM,13.6,14.76,14.76,14.76,13.6,0.0,0.0,1.0,2025-06-01
SASML,71.92,71.0,71.0,71.0,71.92,0.0,0.0,1.0,2025-06-01
SEL,10.84,10.9,10.9,10.9,10.84,0.0,0.0,1.0,2025-06-01
WTL,1.37,1.45,1.49,1.36,1.37,-0.06,-4.2,79666803.0,2025-06-01 22:07:05
KEL,5.32,5.53,5.57,5.25,5.32,-0.2,-3.62,47700857.0,2025-06-01 22:07:05
CNERGY,7.86,7.8,8.11,7.8,7.86,0.07,0.9,35756575.0,2025-06-01 22:07:05
DCL,12.07,11.24,12.35,10.99,12.07,0.84,7.48,31365596.0,2025-06-01 22:07:06
PTC,25.4,26.23,27.43,24.91,25.4,-0.83,-3.16,22174138.0,2025-06-01 22:07:06
PIBTL,8.41,8.71,8.81,8.37,8.41,-0.31,-3.55,19941925.0,2025-06-01 22:07:06
FFL,15.86,15.6,16.04,15.51,15.86,0.31,1.99,19847564.0,2025-06-01 22:07:06
PRL,33.67,33.0,34.29,32.81,33.67,0.84,2.56,18646156.0,2025-06-01 22:07:06
SSGC,36.07,36.6,36.99,35.75,36.07,-0.25,-0.69,13166159.0,2025-06-01 22:07:06
KOSM,5.31,5.51,5.59,5.24,5.31,-0.18,-3.28,8825761.0,2025-06-01 22:07:06
ASL,11.53,11.16,11.73,11.1,11.53,0.38,3.41,8099527.0,2025-06-01 22:07:06
BOP,9.95,9.98,10.1,9.89,9.95,0.02,0.2,8023025.0,2025-06-01 22:07:06
BBFL,51.65,54.24,54.48,51.26,51.65,-2.83,-5.19,7184835.0,2025-06-01 22:07:06
PREMA,46.23,47.9,48.2,46.05,46.23,-1.08,-2.28,6716960.0,2025-06-01 22:07:06
TPL,5.14,4.73,5.45,4.65,5.14,0.41,8.67,6569487.0,2025-06-01 22:07:06
TELE,7.91,8.17,8.25,7.83,7.91,-0.24,-2.94,6286183.0,2025-06-01 22:07:06
TREET,19.85,19.75,20.29,19.53,19.85,0.2,1.02,6239595.0,2025-06-01 22:07:06
IBLHL,49.49,51.6,54.24,48.62,49.49,-1.58,-3.09,6168055.0,2025-06-01 22:07:06
HUBC,139.63,138.0,140.35,137.1,139.63,2.2,1.6,5798676.0,2025-06-01 22:07:06
FCCL,46.11,46.6,46.65,46.0,46.11,-0.25,-0.54,5679803.0,2025-06-01 22:07:06
DGKC,160.68,159.98,162.0,158.91,160.68,1.5,0.94,5576922.0,2025-06-01 22:07:06
MLCF,77.83,78.75,79.2,77.4,77.83,-0.41,-0.52,5099419.0,2025-06-01 22:07:06
MACFL,18.57,17.7,19.07,17.36,18.57,1.23,7.09,4695465.0,2025-06-01 22:07:06
MERIT,11.15,10.93,11.55,10.85,11.15,0.32,2.96,4657957.0,2025-06-01 22:07:06
SPEL,45.14,41.1,45.14,41.1,45.14,4.1,9.99,4652787.0,2025-06-01 22:07:06
RPL,17.88,17.02,18.7,17.02,17.88,0.87,5.12,4519799.0,2025-06-01 22:07:06
BML,3.64,3.7,3.84,3.63,3.64,0.0,0.0,4514479.0,2025-06-01 22:07:06
CEPB,30.97,28.95,30.97,28.95,30.97,2.82,10.02,4069836.0,2025-06-01 22:07:06
PAEL,44.03,44.75,44.91,43.92,44.03,-0.56,-1.26,3956813.0,2025-06-01 22:07:06
NRL,264.52,256.8,277.49,253.61,264.52,10.08,3.96,3903331.0,2025-06-01 22:07:06
SEARL,89.01,89.9,91.22,88.5,89.01,-0.02,-0.02,3880760.0,2025-06-01 22:07:06
LOADS,14.44,14.35,14.95,14.16,14.44,0.21,1.48,3491712.0,2025-06-01 22:07:06
PPLXD,166.35,168.26,168.89,166.0,166.35,-1.74,-1.03,3378953.0,2025-06-01 22:07:06
HASCOLNC,9.99,10.04,10.25,9.98,9.99,-0.05,-0.5,3367660.0,2025-06-01 22:07:06
DOL,30.37,32.98,33.14,30.0,30.37,-2.37,-7.24,3360242.0,2025-06-01 22:07:06
BNL,35.23,34.48,35.7,34.2,35.23,0.79,2.29,3336258.0,2025-06-01 22:07:06
CSIL,2.99,3.29,3.29,2.95,2.99,-0.19,-5.97,3196973.0,2025-06-01 22:07:06
DBCINC,6.8,5.7,6.8,5.65,6.8,1.0,17.24,3073359.0,2025-06-01 22:07:06
AVN,49.59,49.0,50.4,48.63,49.59,0.58,1.18,2937884.0,2025-06-01 22:07:06
AKDSL,25.36,26.7,27.3,25.2,25.36,-1.28,-4.81,2907961.0,2025-06-01 22:07:06
GGL,15.21,15.75,15.75,15.15,15.21,-0.23,-1.49,2668120.0,2025-06-01 22:07:06
POWER,13.98,14.0,14.17,13.9,13.98,-0.01,-0.07,2481156.0,2025-06-01 22:07:06
ENGROH,182.26,181.24,183.15,178.9,182.26,1.81,1.0,2473691.0,2025-06-01 22:07:06
SYM,14.9,15.15,15.2,14.85,14.9,-0.01,-0.07,2440241.0,2025-06-01 22:07:06
ATRL,690.23,677.2,709.4,673.0,690.23,13.03,1.92,2410180.0,2025-06-01 22:07:06
SLGL,15.0,14.9,15.44,14.7,15.0,0.2,1.35,2295740.0,2025-06-01 22:07:06
QUICE,7.99,7.8,8.05,7.7,7.99,0.23,2.96,2229463.0,2025-06-01 22:07:06
MEBL,303.29,290.0,312.99,288.3,303.29,12.78,4.4,2194180.0,2025-06-01 22:07:06
IPAK,21.81,20.8,22.77,20.71,21.81,1.11,5.36,2175683.0,2025-06-01 22:07:06
BFBIO,184.47,190.45,192.99,183.5,184.47,-4.19,-2.22,2147449.0,2025-06-01 22:07:06
DFML,34.99,35.0,35.7,34.65,34.99,0.2,0.58,2106590.0,2025-06-01 22:07:06
PIAHCLA,17.38,17.77,17.77,17.3,17.38,-0.24,-1.36,2064564.0,2025-06-01 22:07:06
NBPXD,94.41,94.1,95.6,93.2,94.41,0.43,0.46,2046754.0,2025-06-01 22:07:06
FLYNG,59.91,55.4,59.91,54.0,59.91,5.45,10.01,2000418.0,2025-06-01 22:07:06
GTYR,42.81,40.02,43.89,39.75,42.81,2.72,6.78,1992735.0,2025-06-01 22:07:06
FFC,367.39,358.0,370.5,355.0,367.39,8.03,2.24,1950609.0,2025-06-01 22:07:06
AKBL,48.51,46.81,49.7,46.01,48.51,1.43,3.04,1950000.0,2025-06-01 22:07:06
OGDC,209.49,209.1,210.1,207.5,209.49,0.32,0.15,1912843.0,2025-06-01 22:07:06
TRG,61.33,62.25,62.3,61.2,61.33,-0.54,-0.87,1863553.0,2025-06-01 22:07:06
LOTCHEM,20.88,20.3,21.05,20.25,20.88,0.53,2.6,1846471.0,2025-06-01 22:07:07
SNGPXD,117.13,117.5,118.89,116.95,117.13,-0.21,-0.18,1812264.0,2025-06-01 22:07:07
CPHL,86.2,86.85,87.5,86.0,86.2,-0.51,-0.59,1803932.0,2025-06-01 22:07:07
CPPL,124.82,116.5,124.82,114.57,124.82,11.35,10.0,1803226.0,2025-06-01 22:07:07
TPLP,9.38,9.29,9.44,9.18,9.38,0.09,0.97,1789758.0,2025-06-01 22:07:07
CJPLNC,4.35,3.51,4.47,3.51,4.35,0.81,22.88,1788304.0,2025-06-01 22:07:07
GATM,24.24,24.58,24.75,24.03,24.24,-0.11,-0.45,1774046.0,2025-06-01 22:07:07
ANL,8.42,8.38,8.68,8.05,8.42,0.12,1.45,1711623.0,2025-06-01 22:07:07
AGP,183.78,183.0,189.0,183.0,183.78,0.45,0.25,1700500.0,2025-06-01 22:07:07
UNITY,25.73,26.38,26.48,23.8,25.73,-0.7,-2.65,1695984.0,2025-06-01 22:07:07
FCL,24.07,23.87,24.45,23.6,24.07,0.21,0.88,1660234.0,2025-06-01 22:07:07
JSBL,8.86,8.88,8.94,8.43,8.86,0.27,3.14,1610979.0,2025-06-01 22:07:07
BGL,10.46,9.8,10.75,9.8,10.46,0.57,5.76,1599883.0,2025-06-01 22:07:07
EPCL,31.86,31.41,32.6,31.41,31.86,0.34,1.08,1561402.0,2025-06-01 22:07:07
WAVES,7.74,7.8,7.92,7.69,7.74,-0.01,-0.13,1504364.0,2025-06-01 22:07:07
GGGL,8.95,9.1,9.12,8.9,8.95,-0.06,-0.67,1503721.0,2025-06-01 22:07:07
HIRATNC,3.72,3.91,3.91,3.7,3.72,-0.2,-5.1,1492905.0,2025-06-01 22:07:07
PACE,5.51,5.71,5.71,5.41,5.51,-0.16,-2.82,1486867.0,2025-06-01 22:07:07
TOMCL,31.0,31.17,31.25,30.9,31.0,-0.09,-0.29,1485646.0,2025-06-01 22:07:07
PASLNC,1.33,1.3,1.37,1.25,1.33,0.04,3.1,1347003.0,2025-06-01 22:07:07
JSCL,18.7,18.3,19.0,18.11,18.7,0.6,3.32,1312428.0,2025-06-01 22:07:07
NETSOL,134.99,138.0,138.01,134.0,134.99,-2.4,-1.75,1271773.0,2025-06-01 22:07:07
GCIL,20.08,20.3,20.62,19.95,20.08,-0.33,-1.62,1225482.0,2025-06-01 22:07:07
WAVESAPP,9.44,9.5,9.75,9.39,9.44,-0.06,-0.63,1214195.0,2025-06-01 22:07:07
OCTOPUS,52.88,50.51,54.01,50.51,52.88,0.95,1.83,1205933.0,2025-06-01 22:07:07
FCEPL,105.75,108.9,109.0,105.4,105.75,-2.05,-1.9,1150694.0,2025-06-01 22:07:07
AIRLINK,156.12,158.33,159.0,155.8,156.12,-2.0,-1.26,1149178.0,2025-06-01 22:07:07
GWLC,43.09,43.29,43.8,42.8,43.09,0.15,0.35,1081287.0,2025-06-01 22:07:07
AGHA,8.6,8.5,8.74,8.5,8.6,0.1,1.18,1063766.0,2025-06-01 22:07:07
DCR,27.7,27.05,28.0,27.05,27.7,0.65,2.4,1025983.0,2025-06-01 22:07:07
PKGI,10.9,11.0,11.5,10.71,10.9,0.0,0.0,982421.0,2025-06-01 22:07:07
MARI,623.34,619.5,629.0,619.5,623.34,4.28,0.69,973869.0,2025-06-01 22:07:07
NRSL,31.73,34.89,34.89,31.41,31.73,-2.76,-8.0,943383.0,2025-06-01 22:07:07
NML,108.47,109.28,110.0,108.2,108.47,-0.81,-0.74,942081.0,2025-06-01 22:07:07
SNBL,16.25,16.34,16.45,16.11,16.25,0.01,0.06,919405.0,2025-06-01 22:07:07
HTL,42.41,40.66,43.8,40.66,42.41,1.75,4.3,917682.0,2025-06-01 22:07:07
ITTEFAQ,7.77,7.68,7.98,7.6,7.77,0.14,1.84,896571.0,2025-06-01 22:07:07
TBL,12.0,11.81,12.15,11.81,12.0,0.03,0.25,890192.0,2025-06-01 22:07:07
PSO,366.0,366.01,368.0,364.5,366.0,0.78,0.21,890182.0,2025-06-01 22:07:07
CLCPS,2.57,2.49,2.78,2.4,2.57,0.07,2.8,863920.0,2025-06-01 22:07:07
NCL,37.92,36.9,40.18,36.51,37.92,1.39,3.81,853684.0,2025-06-01 22:07:07
AMTEXNC,3.05,3.15,3.16,3.05,3.05,-0.05,-1.61,847781.0,2025-06-01 22:07:07
UDLI,9.25,8.36,9.25,8.36,9.25,1.0,12.12,844262.0,2025-06-01 22:07:07
LUCK,335.62,335.44,338.0,333.5,335.62,2.24,0.67,827975.0,2025-06-01 22:07:07
CWSMNC,44.26,49.0,49.0,43.9,44.26,-1.23,-2.7,825474.0,2025-06-01 22:07:07
ALAC,8.33,8.6,8.6,8.02,8.33,0.73,9.61,800379.0,2025-06-01 22:07:07
JSMFETF,11.41,11.43,11.5,11.36,11.41,0.01,0.09,764000.0,2025-06-01 22:07:07
DWSMNC,5.94,5.84,6.7,5.58,5.94,0.24,4.21,763006.0,2025-06-01 22:07:07
