SYMBOL,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,CHANGE (%),VOLUME,date extracted
BGL,10.46,9.8,10.75,9.8,10.46,0.57,5.76,1599883.0,2025-06-01
EPCL,31.86,31.41,32.6,31.41,31.86,0.34,1.08,1561402.0,2025-06-01
WAVES,7.74,7.8,7.92,7.69,7.74,-0.01,-0.13,1504364.0,2025-06-01
GGGL,8.95,9.1,9.12,8.9,8.95,-0.06,-0.67,1503721.0,2025-06-01
HIRATNC,3.72,3.91,3.91,3.7,3.72,-0.2,-5.1,1492905.0,2025-06-01
PACE,5.51,5.71,5.71,5.41,5.51,-0.16,-2.82,1486867.0,2025-06-01
TOMCL,31.0,31.17,31.25,30.9,31.0,-0.09,-0.29,1485646.0,2025-06-01
PASLNC,1.33,1.3,1.37,1.25,1.33,0.04,3.1,1347003.0,2025-06-01
JSCL,18.7,18.3,19.0,18.11,18.7,0.6,3.32,1312428.0,2025-06-01
NETSOL,134.99,138.0,138.01,134.0,134.99,-2.4,-1.75,1271773.0,2025-06-01
GCIL,20.08,20.3,20.62,19.95,20.08,-0.33,-1.62,1225482.0,2025-06-01
WAVESAPP,9.44,9.5,9.75,9.39,9.44,-0.06,-0.63,1214195.0,2025-06-01
OCTOPUS,52.88,50.51,54.01,50.51,52.88,0.95,1.83,1205933.0,2025-06-01
FCEPL,105.75,108.9,109.0,105.4,105.75,-2.05,-1.9,1150694.0,2025-06-01
AIRLINK,156.12,158.33,159.0,155.8,156.12,-2.0,-1.26,1149178.0,2025-06-01
GWLC,43.09,43.29,43.8,42.8,43.09,0.15,0.35,1081287.0,2025-06-01
AGHA,8.6,8.5,8.74,8.5,8.6,0.1,1.18,1063766.0,2025-06-01
DCR,27.7,27.05,28.0,27.05,27.7,0.65,2.4,1025983.0,2025-06-01
PKGI,10.9,11.0,11.5,10.71,10.9,0.0,0.0,982421.0,2025-06-01
MARI,623.34,619.5,629.0,619.5,623.34,4.28,0.69,973869.0,2025-06-01
NRSL,31.73,34.89,34.89,31.41,31.73,-2.76,-8.0,943383.0,2025-06-01
NML,108.47,109.28,110.0,108.2,108.47,-0.81,-0.74,942081.0,2025-06-01
SNBL,16.25,16.34,16.45,16.11,16.25,0.01,0.06,919405.0,2025-06-01
HTL,42.41,40.66,43.8,40.66,42.41,1.75,4.3,917682.0,2025-06-01
ITTEFAQ,7.77,7.68,7.98,7.6,7.77,0.14,1.84,896571.0,2025-06-01
TBL,12.0,11.81,12.15,11.81,12.0,0.03,0.25,890192.0,2025-06-01
PSO,366.0,366.01,368.0,364.5,366.0,0.78,0.21,890182.0,2025-06-01
CLCPS,2.57,2.49,2.78,2.4,2.57,0.07,2.8,863920.0,2025-06-01
NCL,37.92,36.9,40.18,36.51,37.92,1.39,3.81,853684.0,2025-06-01
AMTEXNC,3.05,3.15,3.16,3.05,3.05,-0.05,-1.61,847781.0,2025-06-01
UDLI,9.25,8.36,9.25,8.36,9.25,1.0,12.12,844262.0,2025-06-01
LUCK,335.62,335.44,338.0,333.5,335.62,2.24,0.67,827975.0,2025-06-01
CWSMNC,44.26,49.0,49.0,43.9,44.26,-1.23,-2.7,825474.0,2025-06-01
ALAC,8.33,8.6,8.6,8.02,8.33,0.73,9.61,800379.0,2025-06-01
JSMFETF,11.41,11.43,11.5,11.36,11.41,0.01,0.09,764000.0,2025-06-01
DWSMNC,5.94,5.84,6.7,5.58,5.94,0.24,4.21,763006.0,2025-06-01
BFAGRO,28.45,28.69,28.8,28.35,28.45,-0.24,-0.84,754403.0,2025-06-01
ICCI,14.95,14.95,14.95,14.5,14.95,1.36,10.01,739406.0,2025-06-01
IMAGE,22.37,22.3,22.69,22.02,22.37,0.29,1.31,735432.0,2025-06-01
STCL,14.55,14.0,14.95,13.39,14.55,0.7,5.05,727545.0,2025-06-01
EFERT,183.62,182.49,184.15,181.5,183.62,1.12,0.61,715881.0,2025-06-01
GAL,424.55,431.87,434.9,422.5,424.55,-4.0,-0.93,709790.0,2025-06-01
DSLNC,9.06,9.6,9.64,9.0,9.06,0.04,0.44,700058.0,2025-06-01
KSBP,257.07,235.7,257.07,235.5,257.07,23.37,10.0,688844.0,2025-06-01
YOUW,3.85,4.05,4.09,3.82,3.85,-0.15,-3.75,652232.0,2025-06-01
MIRKS,38.97,36.97,38.97,36.43,38.97,3.54,9.99,598406.0,2025-06-01
OTSU,370.88,380.0,406.76,340.18,370.88,1.1,0.3,575341.0,2025-06-01
TRIPF,143.34,133.5,143.34,131.5,143.34,13.03,10.0,566860.0,2025-06-01
PSX,26.66,26.85,27.0,26.5,26.66,0.08,0.3,563770.0,2025-06-01
MDTL,2.08,2.15,2.15,2.05,2.08,-0.01,-0.48,557419.0,2025-06-01
UBL,509.6,513.0,513.99,507.0,509.6,-1.18,-0.23,550714.0,2025-06-01
FCSC,1.68,1.74,1.74,1.63,1.68,0.02,1.21,531284.0,2025-06-01
STPLNC,6.02,6.18,6.25,5.96,6.02,-0.02,-0.33,529596.0,2025-06-01
BECO,9.97,9.9,10.1,9.65,9.97,0.14,1.42,519551.0,2025-06-01
GCWL,9.96,10.3,10.3,9.91,9.96,-0.2,-1.97,516120.0,2025-06-01
DFSM,3.44,3.4,3.7,3.21,3.44,0.07,2.08,490144.0,2025-06-01
PTL,40.74,38.75,42.43,38.75,40.74,1.99,5.14,487706.0,2025-06-01
BAPLNC,53.41,58.01,58.01,53.41,53.41,-5.93,-9.99,485930.0,2025-06-01
THCCL,183.14,184.99,186.85,181.0,183.14,0.28,0.15,478420.0,2025-06-01
FEROZ,323.58,315.98,330.0,315.98,323.58,9.96,3.18,463999.0,2025-06-01
FNEL,3.15,3.12,3.2,3.08,3.15,0.01,0.32,460760.0,2025-06-01
MCBXD,276.79,273.2,277.5,272.01,276.79,3.8,1.39,455631.0,2025-06-01
HBL,153.32,154.01,155.49,152.7,153.32,-0.48,-0.31,452399.0,2025-06-01
CYAN,33.52,34.5,36.0,33.4,33.52,-0.19,-0.56,434980.0,2025-06-01
PMI,2.04,2.07,2.11,2.0,2.04,0.0,0.0,430607.0,2025-06-01
HUMNL,11.95,11.89,12.2,11.8,11.95,-0.01,-0.08,429076.0,2025-06-01
FATIMA,86.88,85.6,87.01,85.6,86.88,1.34,1.57,408291.0,2025-06-01
HAEL,18.17,16.52,18.17,16.52,18.17,1.65,9.99,394117.0,2025-06-01
SHDT,51.67,48.0,51.67,47.01,51.67,4.7,10.01,383064.0,2025-06-01
BIPL,20.48,20.64,20.64,20.25,20.48,-0.05,-0.24,377742.0,2025-06-01
ZAL,16.15,16.19,16.2,16.0,16.15,0.15,0.94,373954.0,2025-06-01
CLOV,42.34,43.51,43.99,42.1,42.34,-1.08,-2.49,372799.0,2025-06-01
GHGL,33.25,32.62,33.65,32.62,33.25,0.32,0.97,367711.0,2025-06-01
TCORP,15.14,15.6,16.0,14.5,15.14,-0.55,-3.5,336848.0,2025-06-01
CSAP,118.07,121.75,121.75,117.51,118.07,-2.69,-2.23,321508.0,2025-06-01
FABL,48.5,48.4,48.65,48.26,48.5,0.17,0.35,315231.0,2025-06-01
ICL,89.63,85.0,89.63,85.0,89.63,8.15,10.0,308493.0,2025-06-01
KAPCO,32.49,32.15,32.58,32.15,32.49,0.28,0.87,306784.0,2025-06-01
TPLRF1,11.98,12.61,12.61,11.95,11.98,-0.99,-7.63,299564.0,2025-06-01
CHBL,6.38,6.49,6.64,6.3,6.38,-0.01,-0.16,293090.0,2025-06-01
ISL,84.05,84.99,85.48,83.9,84.05,-0.4,-0.47,285927.0,2025-06-01
ILP,58.1,58.85,59.9,58.0,58.1,-0.59,-1.0,277418.0,2025-06-01
NATF,239.22,234.0,241.9,234.0,239.22,4.51,1.92,249272.0,2025-06-01
TATM,53.98,50.9,53.98,49.15,53.98,4.91,10.01,249194.0,2025-06-01
ASTL,25.35,25.82,25.84,25.25,25.35,-0.26,-1.01,244610.0,2025-06-01
SHNIXB,5.51,5.01,6.1,5.01,5.51,0.35,6.78,239693.0,2025-06-01
PCAL,159.82,150.0,160.67,146.02,159.82,13.76,9.42,239499.0,2025-06-01
HCAR,292.82,295.8,295.8,292.0,292.82,-1.45,-0.49,233353.0,2025-06-01
BERG,101.89,100.3,102.99,99.8,101.89,1.49,1.48,232455.0,2025-06-01
AGL,53.05,54.0,54.85,52.51,53.05,-0.5,-0.93,229600.0,2025-06-01
AHCL,10.59,10.64,10.76,10.53,10.59,0.01,0.1,224562.0,2025-06-01
BIFO,180.57,180.0,197.66,177.08,180.57,0.88,0.49,223789.0,2025-06-01
INIL,163.12,165.97,167.0,162.81,163.12,-1.29,-0.78,221385.0,2025-06-01
MUGHAL,75.17,75.5,76.0,75.07,75.17,-0.26,-0.34,221049.0,2025-06-01
MTL,561.21,567.69,567.69,553.0,561.21,-6.86,-1.21,214451.0,2025-06-01
HICL,7.69,7.72,7.8,7.5,7.69,0.04,0.52,211190.0,2025-06-01
GHNI,665.75,668.05,673.9,664.85,665.75,0.0,0.0,209994.0,2025-06-01
SAIF,14.87,15.25,15.7,14.5,14.87,0.47,3.26,205150.0,2025-06-01
